year,glacier_name,country,net_mass_balance
1996,Maladeta,Spain,-444.0
1997,Maladeta,Spain,68.0
1998,Maladeta,Spain,-887.0
1999,Maladeta,Spain,-1651.0
2000,Maladeta,Spain,-2551.0
2001,Maladeta,Spain,-2049.0
2002,Maladeta,Spain,-2860.0
2003,Maladeta,Spain,-3962.0
2004,Maladeta,Spain,-5478.0
2005,Maladeta,Spain,-6957.0
2006,Maladeta,Spain,-8744.0
2007,Maladeta,Spain,-9691.0
2008,Maladeta,Spain,-9729.0
2009,Maladeta,Spain,-11144.0
2010,Maladeta,Spain,-10885.0
2011,Maladeta,Spain,-12807.0
2012,Maladeta,Spain,-15278.0
2013,Maladeta,Spain,-14888.0
2014,Maladeta,Spain,-14810.0
1987,Hofsjökull N,Iceland,0.0
1988,Hofsjökull N,Iceland,-740.0
1989,Hofsjökull N,Iceland,-160.0
1990,Hofsjökull N,Iceland,-760.0
1991,Hofsjökull N,Iceland,-2170.0
1992,Hofsjökull N,Iceland,-1110.0
1993,Hofsjökull N,Iceland,-200.0
1994,Hofsjökull N,Iceland,-120.0
1995,Hofsjökull N,Iceland,-800.0
1996,Hofsjökull N,Iceland,-1580.0
1997,Hofsjökull N,Iceland,-2630.0
1998,Hofsjökull N,Iceland,-3310.0
1999,Hofsjökull N,Iceland,-3560.0
2000,Hofsjökull N,Iceland,-4900.0
2001,Hofsjökull N,Iceland,-5480.0
2002,Hofsjökull N,Iceland,-6480.0
2003,Hofsjökull N,Iceland,-7460.0
2004,Hofsjökull N,Iceland,-8820.0
2005,Hofsjökull N,Iceland,-9250.0
2006,Hofsjökull N,Iceland,-9760.0
2007,Hofsjökull N,Iceland,-10150.0
2008,Hofsjökull N,Iceland,-10720.0
2009,Hofsjökull N,Iceland,-11070.0
2010,Hofsjökull N,Iceland,-13470.0
2011,Hofsjökull N,Iceland,-13790.0
2012,Hofsjökull N,Iceland,-14250.0
2013,Hofsjökull N,Iceland,-14610.0
2014,Hofsjökull N,Iceland,-15560.0
